id,trecho,fonte,classe_origem
t01,"Regravei o refrão três vezes. A terceira saiu torta, mas é a única com verdade. Fica essa.",fala de produção (composta),humano-com-voz
t02,"Vale ressaltar que o planejamento é essencial para qualquer projeto de sucesso. Nesse sentido, definir metas claras potencializa os resultados de forma significativa.","gerado (slop genérico, conectivo)",ia-sem-voz
t03,"Cê viu como ficou a mistura? Ficou doido, bicho. Manda lá pro pessoal ouvir.",fala regional mineira (composta),humano-simples-regional
t04,"No fim do dia, é tudo sobre paixão. A gente vai a milha extra todo dia, porque você merece nada menos que o melhor.","gerado (translationese EN->PT)",traducao-automatica
t05,"O servidor guarda a sessão num cookie assinado. A cada requisição, o sistema confere o usuário no banco antes de liberar a ação.",registro técnico voz ativa (composto),humano-formal-legitimo
t06,"A van pega a equipe às seis no estúdio. Quem mora pra zona sul espera no ponto da praça, que fica no caminho.","gerado (IA bem-promptada, concreto)",ia-bem-promptada
t07,"Rapá, esse arranjo ficou massa demais. Bora fechar logo, que já tá no ponto.",fala regional nordestina (composta),humano-simples-regional
t08,"A inovação tem desempenhado um papel cada vez mais relevante no cenário atual. Diante disso, empresas que investem em tecnologia tendem a se destacar de maneira expressiva.","gerado (slop genérico, conectivo)",ia-sem-voz
t09,"Cobro mais de quem chega em cima da hora. Pressa é problema de quem não se planejou, não meu.",opinião com voz (composta),humano-com-voz
t10,"Uai, o ensaio não era amanhã? Achei que tinha trocado, sô. Me liga aí.",fala regional mineira (composta),humano-simples-regional
t11,"Deixa eu ser honesto com você: isto não é só um trabalho. É um chamado, construído um dia de cada vez.","gerado (translationese EN->PT)",traducao-automatica
t12,"O cliente paga em duas parcelas: metade na assinatura do contrato, metade na entrega dos arquivos finais.",registro contratual voz ativa (composto),humano-formal-legitimo
t13,"É importante destacar que a comunicação assertiva é a chave para o sucesso. Dessa forma, investir no diálogo torna-se indispensável para qualquer equipe.","gerado (slop genérico, conectivo)",ia-sem-voz
t14,"Mermão, esse grave ficou sinistro. Bota de novo que eu quero ouvir mais alto.",fala regional carioca (composta),humano-simples-regional
t15,"Cortei o refrão na terceira repetição porque cansava. Ficou oito segundos mais curto e o clipe respira melhor.","gerado (IA bem-promptada, concreto)",ia-bem-promptada
